"id","order_id","name","sequence","invoice_status","price_unit","price_subtotal","price_tax","price_total","price_reduce","price_reduce_taxinc","price_reduce_taxexcl","discount","product_id","product_uom_qty","product_uom","qty_delivered_method","qty_delivered","qty_delivered_manual","qty_to_invoice","qty_invoiced","untaxed_amount_invoiced","untaxed_amount_to_invoice","salesman_id","currency_id","company_id","order_partner_id","is_expense","is_downpayment","state","customer_lead","display_type","create_uid","create_date","write_uid","write_date","product_packaging","route_id","width_moved0","height_moved0","is_delivery","is_reward_line","unite_mesure","width","height","puissance","m2","net_price","hide_net_price"
31794,9070,"Fourniturederideaumétalliquemotorisécomplet
Tablier à Lames pleines agrafées en acier galvanisé
Lame finale renforcée en acier galvanisé Cornière de renfort
Axe motorisé compensé par des ressorts
Moteur central monophasé 220 Volts 
Câble de dépannage de secours (débrayage de l'électrofrein) Conforme à la norme EN13241-1

-Moteur ACM(190Nm)190Nm
-Axe diamètre 60
-Émetteur
-Récepteur+2Bips
-Enroulement extérieur
-Sanssabot
-4agrafes
-Renfortplatsbombés
-Aveccoffre
-Aveccoulisses
-Lamefinaleéquipéed’uneserrure
-Avecbutées
-Poseenapplique-Largeur:3305mm(DC)xHauteur:2660mm(enroulementcompris)",15,"to invoice","1850.000","1717.11","343.42","2060.53","1717.106","2060.53","1717.11","7.18347826086956686709",11293,"1",1,"stock_move","0","0","1","0","0.00","1717.11",40,1,8,20718,NULL,NULL,"done","0",NULL,28,"2024-04-12 18:29:30.944438",28,"2024-04-15 08:15:48.769658",NULL,NULL,NULL,NULL,False,NULL,NULL,0,0,NULL,"0","0",False
31793,9070,"Maind'oeuvre
-Poserideaumétalliquecomplet
-Créationd'unrideaumétalliquecomplet
-Tiragedeligneélectrique
-Miseenplacedesagrafes
-Branchementélectrique
-Réglagefindecourse
-Miseenservice
-Miseàladécharge
-Fermetureducoffre",16,"to invoice","400.000","371.27","74.25","445.52","371.266","445.52","371.27","7.18347826086956864344",11798,"1",1,"stock_move","1","0","1","0","0.00","371.27",40,1,8,20718,NULL,NULL,"done","0",NULL,28,"2024-04-12 18:27:16.395138",28,"2024-04-15 08:15:48.769658",NULL,NULL,NULL,NULL,False,NULL,NULL,0,0,NULL,"0","0",False
31791,9070,"Déplacement",11,"to invoice","50.000","46.41","9.28","55.69","46.408","55.69","46.41","7.18347826086956864344",11587,"1",1,"stock_move","1","0","1","0","0.00","46.41",40,1,8,20718,NULL,NULL,"done","0",NULL,28,"2024-04-12 18:18:49.201909",28,"2024-04-15 08:15:48.769658",NULL,NULL,NULL,NULL,False,NULL,NULL,0,0,NULL,"0","0",False
31788,9070,"Garantie ",17,"invoiced","0.000","0.00","0","0.00","0.000","0.00","0.00","7.18347826086956864344",NULL,"0",NULL,"manual","0","0","0","0","0.00","0.00",40,1,8,20718,NULL,NULL,"done","0","line_note",28,"2024-04-12 18:15:38.36835",28,"2024-04-12 18:41:54.968922",NULL,NULL,NULL,NULL,False,NULL,NULL,0,0,NULL,"0","0",False
